st_no,st_name,city,town
466850,五分山雷達站,新北市,瑞芳區
466880,板橋,新北市,板橋區
466900,淡水,新北市,淡水區
466910,鞍部,臺北市,北投區
466920,臺北,臺北市,中正區
466921,臺北(師院),臺北市,中正區
466930,竹子湖,臺北市,北投區
466940,基隆,基隆市,仁愛區
466950,彭佳嶼,基隆市,中正區
466990,花蓮,花蓮縣,花蓮市
467050,新屋,桃園市,新屋區
467060,蘇澳,宜蘭縣,蘇澳鎮
467080,宜蘭,宜蘭縣,宜蘭市
467110,金門,金門縣,金城鎮
467300,東吉島,澎湖縣,望安鄉
467350,澎湖,澎湖縣,馬公市
467410,臺南,臺南市,中西區
467411,臺南(永康),臺南市,永康區
467420,永康,臺南市,永康區
467440,高雄,高雄市,前鎮區
467480,嘉義,嘉義市,西區
467490,臺中,臺中市,北區
467530,阿里山,嘉義縣,阿里山鄉
467540,大武,臺東縣,大武鄉
467550,玉山,南投縣,信義鄉
467570,新竹,新竹市,東區
467571,新竹,新竹縣,竹北市
467590,恆春,屏東縣,恆春鎮
467610,成功,臺東縣,成功鎮
467620,蘭嶼,臺東縣,蘭嶼鄉
467650,日月潭,南投縣,魚池鄉
467660,臺東,臺東縣,臺東市
467770,梧棲,臺中市,梧棲區
467780,七股,臺南市,七股區
467790,墾丁雷達站,屏東縣,恆春鎮
467990,馬祖,連江縣,南竿鄉
C0A510,大豹,新北市,三峽區
C0A520,山佳,新北市,樹林區
C0A530,坪林,新北市,坪林區
C0A540,四堵,新北市,坪林區
C0A550,泰平,新北市,雙溪區
C0A560,福山,新北市,烏來區
C0A570,桶後,新北市,烏來區
C0A580,屈尺,新北市,新店區
C0A590,大尖山,新北市,汐止區
C0A640,石碇,新北市,石碇區
C0A650,火燒寮,新北市,平溪區
C0A660,瑞芳,新北市,瑞芳區
C0A680,五股,新北市,五股區
C0A710,林口,新北市,林口區
C0A860,大坪,新北市,萬里區
C0A870,五指山,新北市,汐止區
C0A880,福隆,新北市,貢寮區
C0A890,雙溪,新北市,雙溪區
C0A920,富貴角,新北市,石門區
C0A930,三和,新北市,金山區
C0A931,三和,新北市,金山區
C0A940,金山,新北市,金山區
C0A950,鼻頭角,新北市,瑞芳區
C0A970,三貂角,新北市,貢寮區
C0A980,社子,臺北市,士林區
C0A990,大崙尾山,臺北市,內湖區
C0A9A0,大直,臺北市,中山區
C0A9B0,石牌,臺北市,北投區
C0A9C0,天母,臺北市,士林區
C0A9D0,永和,新北市,永和區
C0A9E0,士林,臺北市,士林區
C0A9F0,內湖,臺北市,內湖區
C0A9G0,南港,臺北市,南港區
C0A9H0,信義,臺北市,信義區
C0A9I0,三重,新北市,三重區
C0A9I1,三重,新北市,三重區
C0AC40,大屯山,臺北市,北投區
C0AC60,三峽,新北市,三峽區
C0AC70,信義,臺北市,信義區
C0AC80,文山,臺北市,文山區
C0AC90,中和,新北市,中和區
C0ACA0,新莊,新北市,新莊區
C0AD00,三芝,新北市,三芝區
C0AD10,八里,新北市,八里區
C0AD20,深坑,新北市,深坑區
C0AD30,蘆洲,新北市,蘆洲區
C0AD40,土城,新北市,土城區
C0AD50,鶯歌,新北市,鶯歌區
C0AG90,中和,新北市,中和區
C0AH00,汐止,新北市,汐止區
C0AH10,永和,新北市,永和區
C0AH30,五分山,新北市,瑞芳區
C0AH40,平等,臺北市,士林區
C0AH50,林口,新北市,林口區
C0AH70,松山,臺北市,松山區
C0AH80,深坑,新北市,深坑區
C0C450,新屋,桃園市,新屋區
C0C460,復興,桃園市,復興區
C0C480,桃園,桃園市,桃園區
C0C490,八德,桃園市,八德區
C0C500,楊梅,桃園市,楊梅區
C0C520,中壢,桃園市,中壢區
C0C540,埔心,桃園市,大園區
C0C570,新屋,桃園市,新屋區
C0C580,新豐,新竹縣,新豐鄉
C0C590,觀音,桃園市,觀音區
C0C610,龍潭,桃園市,龍潭區
C0C620,蘆竹,桃園市,蘆竹區
C0C630,大溪,桃園市,大溪區
C0C640,龜山,桃園市,龜山區
C0C650,平鎮,桃園市,平鎮區
C0C660,楊梅,桃園市,楊梅區
C0C670,龍潭,桃園市,龍潭區
C0C680,龜山,桃園市,龜山區
C0D360,梅花,新竹縣,尖石鄉
C0D370,湖口,新竹縣,湖口鄉
C0D390,關西,新竹縣,關西鎮
C0D430,峨眉,新竹縣,峨眉鄉
C0D470,竹東,新竹縣,橫山鄉
C0D480,打鐵坑,新竹縣,新埔鎮
C0D540,橫山,新竹縣,橫山鄉
C0D550,雪霸,新竹縣,五峰鄉
C0D560,竹東,新竹縣,竹東鎮
C0D570,香山,新竹市,香山區
C0D580,寶山,新竹縣,寶山鄉
C0D590,新豐,新竹縣,新豐鄉
C0D650,湖口,新竹縣,湖口鄉
C0D660,新竹市東區,新竹市,東區
C0E410,觀霧,新竹縣,五峰鄉
C0E420,竹南,苗栗縣,竹南鎮
C0E430,南庄,苗栗縣,南庄鄉
C0E440,大河,苗栗縣,三灣鄉
C0E520,大湖,苗栗縣,大湖鄉
C0E530,三義,苗栗縣,三義鄉
C0E540,後龍,苗栗縣,後龍鎮
C0E550,明德,苗栗縣,頭屋鄉
C0E580,苑里,苗栗縣,苑裡鎮
C0E590,通霄,苗栗縣,通霄鎮
C0E610,馬都安,苗栗縣,泰安鄉
C0E730,頭份,苗栗縣,頭份市
C0E740,造橋,苗栗縣,造橋鄉
C0E750,苗栗,苗栗縣,苗栗市
C0E760,苑裡,苗栗縣,苑裡鎮
C0E780,銅鑼,苗栗縣,銅鑼鄉
C0E790,卓蘭,苗栗縣,卓蘭鎮
C0E810,西湖,苗栗縣,西湖鄉
C0E820,獅潭,苗栗縣,獅潭鄉
C0E830,苑裡,苗栗縣,苑裡鎮
C0E850,大河,苗栗縣,三灣鄉
C0E860,觀霧2,苗栗縣,南庄鄉
C0E870,高鐵苗栗,苗栗縣,後龍鎮
C0F000,大肚,臺中市,大肚區
C0F0A0,雪山圈谷,臺中市,和平區
C0F0B0,石岡,臺中市,石岡區
C0F0C0,中坑,臺中市,和平區
C0F850,東勢,臺中市,東勢區
C0F860,梨山,臺中市,和平區
C0F861,梨山,臺中市,和平區
C0F900,雙崎,臺中市,和平區
C0F920,石岡,臺中市,石岡區
C0F930,大甲,臺中市,大甲區
C0F950,合歡山,南投縣,仁愛鄉
C0F970,大坑,臺中市,北屯區
C0F990,橫山,臺中市,大雅區
C0F9A0,中竹林,臺中市,太平區
C0F9I0,神岡,臺中市,神岡區
C0F9K0,大安,臺中市,大安區
C0F9L0,后里,臺中市,后里區
C0F9M0,豐原,臺中市,豐原區
C0F9N0,大里,臺中市,大里區
C0F9O0,潭子,臺中市,潭子區
C0F9P0,清水,臺中市,清水區
C0F9Q0,外埔,臺中市,外埔區
C0F9R0,龍井,臺中市,龍井區
C0F9S0,烏日,臺中市,烏日區
C0F9T0,西屯,臺中市,西屯區
C0F9U0,南屯,臺中市,南屯區
C0F9V0,新社,臺中市,新社區
C0F9X0,大雅(中科園區),臺中市,大雅區
C0F9Y0,桃山,臺中市,和平區
C0F9Z0,雪山東峰,臺中市,和平區
C0G620,芬園,彰化縣,芬園鄉
C0G640,鹿港,彰化縣,鹿港鎮
C0G650,員林,彰化縣,員林市
C0G660,溪湖,彰化縣,溪湖鎮
C0G710,台西,彰化縣,大城鄉
C0G720,溪州,彰化縣,溪州鄉
C0G730,二林,彰化縣,二林鎮
C0G740,大城,彰化縣,大城鄉
C0G750,竹塘,彰化縣,竹塘鄉
C0G760,高鐵彰化,彰化縣,田中鎮
C0G770,福興,彰化縣,福興鄉
C0G780,秀水,彰化縣,秀水鄉
C0G790,花壇,彰化縣,花壇鄉
C0G800,埔鹽,彰化縣,埔鹽鄉
C0G810,埔心,彰化縣,埔心鄉
C0G820,田尾,彰化縣,田尾鄉
C0G830,埤頭,彰化縣,埤頭鄉
C0G840,北斗,彰化縣,北斗鎮
C0G850,田中,彰化縣,田中鎮
C0G860,社頭,彰化縣,社頭鄉
C0G870,芳苑,彰化縣,芳苑鄉
C0G880,二水,彰化縣,二水鄉
C0G890,伸港,彰化縣,伸港鄉
C0H890,埔里,南投縣,埔里鎮
C0H950,中寮,南投縣,中寮鄉
C0H960,草屯,南投縣,草屯鎮
C0H980,中興新村,南投縣,南投市
C0H990,昆陽,南投縣,仁愛鄉
C0H9A0,神木村,南投縣,信義鄉
C0H9C0,合歡山,南投縣,仁愛鄉
C0I010,廬山,南投縣,仁愛鄉
C0I080,信義,南投縣,信義鄉
C0I090,鳳凰,南投縣,鹿谷鄉
C0I110,竹山,南投縣,竹山鎮
C0I360,水里,南投縣,水里鄉
C0I370,魚池,南投縣,魚池鄉
C0I380,集集,南投縣,集集鎮
C0I390,仁愛,南投縣,仁愛鄉
C0I410,名間,南投縣,名間鄉
C0I420,國姓,南投縣,國姓鄉
C0I460,南投,南投縣,南投市
C0I480,梅峰,南投縣,仁愛鄉
C0I490,萬大林道,南投縣,仁愛鄉
C0I520,玉山風口,南投縣,信義鄉
C0K240,草嶺,雲林縣,古坑鄉
C0K250,崙背,雲林縣,崙背鄉
C0K280,四湖,雲林縣,四湖鄉
C0K290,宜梧,雲林縣,口湖鄉
C0K291,宜梧,雲林縣,口湖鄉
C0K300,大埔,雲林縣,古坑鄉
C0K330,虎尾,雲林縣,虎尾鎮
C0K390,土庫,雲林縣,土庫鎮
C0K400,斗六,雲林縣,斗六市
C0K410,北港,雲林縣,北港鎮
C0K420,西螺,雲林縣,西螺鎮
C0K430,褒忠,雲林縣,褒忠鄉
C0K440,二崙,雲林縣,二崙鄉
C0K450,大埤,雲林縣,大埤鄉
C0K460,斗南,雲林縣,斗南鎮
C0K470,林內,雲林縣,林內鄉
C0K480,莿桐,雲林縣,莿桐鄉
C0K490,古坑,雲林縣,古坑鄉
C0K500,元長,雲林縣,元長鄉
C0K510,水林,雲林縣,水林鄉
C0K520,雲林東勢,雲林縣,東勢鄉
C0K530,臺西,雲林縣,台西鄉
C0K550,蔦松,雲林縣,水林鄉
C0K560,棋山,雲林縣,古坑鄉
C0K580,高鐵雲林,雲林縣,虎尾鎮
C0M410,馬頭山,嘉義縣,大埔鄉
C0M520,東後寮,嘉義縣,義竹鄉
C0M530,奮起湖,嘉義縣,竹崎鄉
C0M640,中埔,嘉義縣,中埔鄉
C0M650,朴子,嘉義縣,朴子市
C0M660,溪口,嘉義縣,溪口鄉
C0M670,大林,嘉義縣,大林鎮
C0M680,太保,嘉義縣,太保市
C0M690,水上,嘉義縣,水上鄉
C0M700,竹崎,嘉義縣,竹崎鄉
C0M710,東石,嘉義縣,東石鄉
C0M720,番路,嘉義縣,番路鄉
C0M730,嘉義市東區,嘉義市,東區
C0M740,六腳,嘉義縣,六腳鄉
C0M750,布袋,嘉義縣,布袋鎮
C0M760,民雄,嘉義縣,民雄鄉
C0M770,嘉義梅山,嘉義縣,梅山鄉
C0M780,鹿草,嘉義縣,鹿草鄉
C0M790,新港,嘉義縣,新港鄉
C0M800,茶山,嘉義縣,阿里山鄉
C0M810,里佳,嘉義縣,阿里山鄉
C0M820,達邦,嘉義縣,阿里山鄉
C0M830,山美,嘉義縣,阿里山鄉
C0O810,曾文,臺南市,楠西區
C0O830,北寮,臺南市,南化區
C0O840,王爺宮,臺南市,六甲區
C0O860,大內,臺南市,大內區
C0O890,南化,臺南市,南化區
C0O900,善化,臺南市,善化區
C0O910,新營,臺南市,柳營區
C0O930,玉井,臺南市,玉井區
C0O950,安南,臺南市,安南區
C0O960,崎頂,臺南市,龍崎區
C0O970,虎頭埤,臺南市,新化區
C0O980,新市,臺南市,新市區
C0O990,媽廟,臺南市,歸仁區
C0R100,尾寮山,屏東縣,三地門鄉
C0R130,阿禮,屏東縣,霧台鄉
C0R140,瑪家,屏東縣,瑪家鄉
C0R150,三地門,屏東縣,內埔鄉
C0R160,鹽埔新圍,屏東縣,鹽埔鄉
C0R170,屏東,屏東縣,屏東市
C0R190,赤山,屏東縣,萬巒鄉
C0R220,潮州,屏東縣,潮州鎮
C0R240,來義,屏東縣,萬巒鄉
C0R260,春日,屏東縣,春日鄉
C0R270,琉球嶼,屏東縣,琉球鄉
C0R280,檳榔,屏東縣,滿州鄉
C0R340,牡丹,屏東縣,牡丹鄉
C0R350,貓鼻頭,屏東縣,恆春鎮
C0R360,墾丁,屏東縣,恆春鎮
C0R370,佳樂水,屏東縣,滿州鄉
C0R380,枋寮,屏東縣,枋寮鄉
C0R400,楓港,屏東縣,枋山鄉
C0R420,牡丹池山,屏東縣,牡丹鄉
C0R430,東港,屏東縣,東港鎮
C0R470,高樹,屏東縣,高樹鄉
C0R480,長治,屏東縣,長治鄉
C0R490,九如,屏東縣,九如鄉
C0R500,竹田,屏東縣,竹田鄉
C0R510,萬丹,屏東縣,萬丹鄉
C0R520,崁頂,屏東縣,崁頂鄉
C0R530,林邊,屏東縣,林邊鄉
C0R540,佳冬,屏東縣,佳冬鄉
C0R550,新埤,屏東縣,新埤鄉
C0R560,新園,屏東縣,新園鄉
C0R570,麟洛,屏東縣,麟洛鄉
C0R580,南州,屏東縣,南州鄉
C0R590,里港,屏東縣,里港鄉
C0R600,舊泰武,屏東縣,泰武鄉
C0R620,墾雷,屏東縣,恆春鎮
C0S680,紅葉山,臺東縣,延平鄉
C0S690,太麻里,臺東縣,太麻里鄉
C0S700,知本,臺東縣,卑南鄉
C0S710,鹿野,臺東縣,鹿野鄉
C0S720,靜浦,花蓮縣,豐濱鄉
C0S730,綠島,臺東縣,綠島鄉
C0S740,池上,臺東縣,池上鄉
C0S750,向陽,臺東縣,海端鄉
C0S760,紅石,臺東縣,海端鄉
C0S770,大溪山,臺東縣,太麻里鄉
C0S790,金崙,臺東縣,太麻里鄉
C0S810,東河,臺東縣,東河鄉
C0S830,長濱,臺東縣,長濱鄉
C0S840,南田,臺東縣,達仁鄉
C0S890,關山,臺東縣,關山鎮
C0T790,大禹嶺,花蓮縣,秀林鄉
C0T820,天祥,花蓮縣,秀林鄉
C0T840,新城,花蓮縣,新城鄉
C0T841,新城,花蓮縣,新城鄉
C0T870,鯉魚潭,花蓮縣,壽豐鄉
C0T900,西林,花蓮縣,萬榮鄉
C0T960,光復,花蓮縣,光復鄉
C0T9A0,月眉山,花蓮縣,壽豐鄉
C0T9B0,水源,花蓮縣,秀林鄉
C0T9C0,富世,花蓮縣,秀林鄉
C0T9D0,和中,花蓮縣,秀林鄉
C0T9E0,大坑,花蓮縣,壽豐鄉
C0T9F0,水璉,花蓮縣,壽豐鄉
C0T9G0,鳳林山,花蓮縣,鳳林鎮
C0T9H0,加路蘭山,花蓮縣,豐濱鄉
C0T9I0,豐濱,花蓮縣,豐濱鄉
C0T9M0,靜浦,花蓮縣,豐濱鄉
C0U520,雙連埤,宜蘭縣,員山鄉
C0U600,礁溪,宜蘭縣,礁溪鄉
C0U620,壯圍,宜蘭縣,壯圍鄉
C0U640,羅東,宜蘭縣,羅東鎮
C0U650,玉蘭,宜蘭縣,大同鄉
